Date,Value,TradesMade,Rank
9/7/2023 12:00:00 AM,500000,0,0
9/8/2023 12:00:00 AM,500068.49,0,0
9/9/2023 12:00:00 AM,500136.99,0,0
9/10/2023 12:00:00 AM,500205.5,0,0
9/11/2023 12:00:00 AM,500274.02,0,0
9/12/2023 12:00:00 AM,500342.55,0,0
9/13/2023 12:00:00 AM,500411.09,0,0
9/14/2023 12:00:00 AM,500479.64,0,0
9/15/2023 12:00:00 AM,500548.2,0,0
9/16/2023 12:00:00 AM,500616.77,0,0
9/17/2023 12:00:00 AM,500685.35,0,0
9/18/2023 12:00:00 AM,500753.94,0,0
9/19/2023 12:00:00 AM,500822.54,0,0
9/20/2023 12:00:00 AM,500891.15,0,0
9/21/2023 12:00:00 AM,500959.77,0,0
9/22/2023 12:00:00 AM,501028.39,0,0
9/23/2023 12:00:00 AM,501097.02,0,0
9/24/2023 12:00:00 AM,501165.66,0,0
9/25/2023 12:00:00 AM,501234.31,0,0
9/26/2023 12:00:00 AM,501302.97,0,0
9/27/2023 12:00:00 AM,501371.64,0,0
9/28/2023 12:00:00 AM,501419.843381874,20,4
9/29/2023 12:00:00 AM,501459.070755155,20,9
9/30/2023 12:00:00 AM,501510.635961393,20,10
10/1/2023 12:00:00 AM,501508.8560446,20,10
10/2/2023 12:00:00 AM,500600.043400071,43,14
10/3/2023 12:00:00 AM,498302.058969908,45,11
10/4/2023 12:00:00 AM,499182.58230264,46,13
10/5/2023 12:00:00 AM,500737.099821641,46,12
10/6/2023 12:00:00 AM,502691.608419735,46,10
10/7/2023 12:00:00 AM,502863.694716393,46,8
10/8/2023 12:00:00 AM,506962.97449788,46,4
10/9/2023 12:00:00 AM,507332.743491279,46,3
10/10/2023 12:00:00 AM,508210.613031881,46,5
10/11/2023 12:00:00 AM,511646.697527576,46,5
10/12/2023 12:00:00 AM,512242.052091149,46,4
10/13/2023 12:00:00 AM,518916.277132493,46,3
10/14/2023 12:00:00 AM,518859.961758047,46,3
10/15/2023 12:00:00 AM,517607.348220387,46,2
10/16/2023 12:00:00 AM,517926.432187138,46,3
10/17/2023 12:00:00 AM,522218.583069027,46,4
10/18/2023 12:00:00 AM,522485.670879846,46,3
10/19/2023 12:00:00 AM,527534.446733278,46,4
10/20/2023 12:00:00 AM,523212.394186152,46,4
10/21/2023 12:00:00 AM,523053.775787182,46,4
10/22/2023 12:00:00 AM,521369.349741079,46,4
10/23/2023 12:00:00 AM,522258.617752377,46,3
10/24/2023 12:00:00 AM,522972.965560332,46,2
10/25/2023 12:00:00 AM,521328.072881349,46,3
10/26/2023 12:00:00 AM,518504.153559698,46,3
10/27/2023 12:00:00 AM,521757.499480388,46,4
10/28/2023 12:00:00 AM,521749.060133666,46,4
10/29/2023 12:00:00 AM,521101.982031226,46,4
10/30/2023 12:00:00 AM,523272.999443593,46,2
10/31/2023 12:00:00 AM,521418.424977962,46,3
11/1/2023 12:00:00 AM,527358.396161014,46,2
11/2/2023 12:00:00 AM,531505.353248972,46,2
11/3/2023 12:00:00 AM,533225.970689938,46,3
11/4/2023 12:00:00 AM,533127.672273483,46,3
11/5/2023 12:00:00 AM,532335.429299713,46,3
11/6/2023 12:00:00 AM,532176.596659175,46,3
11/7/2023 12:00:00 AM,532457.127055528,53,3
11/8/2023 12:00:00 AM,532692.340536706,53,3
11/9/2023 12:00:00 AM,532134.079343362,53,3
11/10/2023 12:00:00 AM,533505.758745215,53,2
11/11/2023 12:00:00 AM,533635.321497574,53,2
11/12/2023 12:00:00 AM,532801.818125579,53,2
11/13/2023 12:00:00 AM,538369.563845139,53,2
11/14/2023 12:00:00 AM,539556.919453182,53,3
11/15/2023 12:00:00 AM,538718.253135661,53,3
11/16/2023 12:00:00 AM,542654.856834255,53,3
11/17/2023 12:00:00 AM,542891.944803441,53,3
11/18/2023 12:00:00 AM,542981.056645418,53,3
11/19/2023 12:00:00 AM,542831.473746737,53,3
11/20/2023 12:00:00 AM,546487.118717863,53,3
11/21/2023 12:00:00 AM,547448.99676083,53,3
11/22/2023 12:00:00 AM,547198.220897138,73,3
